year,month,meantemp,maxtemp,mintemp
2022,6,29.161290322580644,29.500000000000004,22.455333777674294
2022,7,27.986666666666668,28.700000000000003,22.000000000000004
2022,8,28.606451612903225,29.300000000000008,21.6
2022,9,28.061290322580646,28.900000000000002,21.700000000000003
2022,10,27.913333333333334,28.500000000000004,21.6
2022,11,27.545161290322582,28.200000000000003,21.898166867121322
2022,12,27.366666666666667,27.500000000000004,21.800000000000004
2023,1,26.748387096774195,26.600000000000005,22.200000000000003
2023,2,26.53548387096774,27.069057413084277,22.109270669527294
2023,3,26.92142857142857,26.700000000000003,21.700000000000003
2023,4,27.070967741935483,27.000000000000004,21.099999999999998
2023,5,28.493333333333332,28.500000000000004,22.000000000000004
2023,6,29.348387096774193,29.700000000000003,21.6
2023,7,28.926666666666666,29.300000000000008,21.4
